date	market	startup	funding
2005-01	Web Hosting	81	15000000
2005-04	Web Hosting	77	15000000
2005-07	Web Hosting	71	13420000
2005-10	Web Hosting	56	12000000
2006-01	Web Hosting	60	12500000
2006-04	Web Hosting	49	20000000
2006-07	Web Hosting	44	11000000
2006-10	Web Hosting	36	8750000
2007-01	Web Hosting	28	10000000
2007-04	Web Hosting	21	15000000
2007-07	Web Hosting	38	17000000
2007-10	Web Hosting	13	10000000
2008-01	Web Hosting	32	20000000
2008-04	Web Hosting	45	14800000
2008-07	Web Hosting	57	14200000
2008-10	Web Hosting	22	11005000
2009-01	Web Hosting	9	9000000
2009-04	Web Hosting	16	8000000
2009-07	Web Hosting	22	5500000
2009-10	Web Hosting	33	17000000
2010-01	Web Hosting	21	6500000
2010-04	Web Hosting	46	10000000
2010-07	Web Hosting	16	8361383
2010-10	Web Hosting	6	6124490
2011-01	Web Hosting	13	5500000
2011-04	Web Hosting	25	12800000
2011-07	Web Hosting	25	8800000
2011-10	Web Hosting	13	4200000
2012-01	Web Hosting	12	2700000
2012-04	Web Hosting	26	9500000
2012-07	Web Hosting	27	12787000
2012-10	Web Hosting	10	4566844.5
2013-01	Web Hosting	2	19136000
2013-04	Web Hosting	19	10000000
2013-07	Web Hosting	8	725000
2013-10	Web Hosting	13	30000000
2004-01	Games	7	2000000
2004-04	Games	4	4625000
2004-07	Games	7	12000000
2004-10	Games	6	8000000
2005-01	Games	31	8000000
2005-04	Games	5	30000000
2005-07	Games	8	5268732
2005-10	Games	21	9000000
2006-01	Games	39	6500000
2006-04	Games	33	7500000
2006-07	Games	23	9100000
2006-10	Games	27	10000000
2007-01	Games	41	4610000
2007-04	Games	57	8000000
2007-07	Games	57	7994814
2007-10	Games	48	7000000
2008-01	Games	49	5300000
2008-04	Games	64	4950000
2008-07	Games	32	6500000
2008-10	Games	35	9900000
2009-01	Games	34	7500000
2009-04	Games	26	3000000
2009-07	Games	35	8000000
2009-10	Games	41	5070000
2010-01	Games	43	3000000
2010-04	Games	49	5000000
2010-07	Games	45	1550000
2010-10	Games	33	3000000
2011-01	Games	51	2499999
2011-04	Games	63	6000000
2011-07	Games	45	6000000
2011-10	Games	54	2000000
2012-01	Games	57	1563274
2012-04	Games	48	2000000
2012-07	Games	59	2600000
2012-10	Games	66	1600000
2013-01	Games	51	2000000
2013-04	Games	79	1900000
2013-07	Games	48	1150000
2013-10	Games	75	5300000
2004-01	Finance	0	0
2004-04	Finance	1	12900000
2004-07	Finance	4	3500000
2004-10	Finance	0	0
2005-01	Finance	3	250000
2005-04	Finance	11	5000000
2005-07	Finance	7	10000000
2005-10	Finance	8	8750000
2006-01	Finance	20	10000000
2006-04	Finance	25	6000000
2006-07	Finance	24	6000000
2006-10	Finance	15	2750000
2007-01	Finance	40	12900000
2007-04	Finance	25	8000000
2007-07	Finance	40	20014500
2007-10	Finance	14	4345125
2008-01	Finance	26	12000000
2008-04	Finance	34	7132667
2008-07	Finance	7	8000000
2008-10	Finance	31	8270000
2009-01	Finance	12	7125000
2009-04	Finance	19	5000000
2009-07	Finance	29	1200000
2009-10	Finance	24	3780000
2010-01	Finance	27	12000000
2010-04	Finance	43	2000000
2010-07	Finance	40	2900000
2010-10	Finance	20	4000000
2011-01	Finance	56	3600000
2011-04	Finance	26	4000000
2011-07	Finance	57	6000000
2011-10	Finance	48	1700000
2012-01	Finance	30	4000000
2012-04	Finance	52	8000000
2012-07	Finance	48	2500000
2012-10	Finance	72	6500000
2013-01	Finance	50	3300000
2013-04	Finance	75	5900000
2013-07	Finance	113	5400000
2013-10	Finance	87	3500000
2004-01	Curated Web	1	1500000
2004-04	Curated Web	4	7000000
2004-07	Curated Web	15	10028397
2004-10	Curated Web	11	10000000
2005-01	Curated Web	6	4500000
2005-04	Curated Web	9	7000000
2005-07	Curated Web	6	4500000
2005-10	Curated Web	15	10000000
2006-01	Curated Web	42	12200000
2006-04	Curated Web	25	4100000
2006-07	Curated Web	14	5000000
2006-10	Curated Web	21	4500000
2007-01	Curated Web	25	2970000
2007-04	Curated Web	27	5000000
2007-07	Curated Web	51	4500000
2007-10	Curated Web	35	4750000
2008-01	Curated Web	57	4169942
2008-04	Curated Web	50	5000000
2008-07	Curated Web	38	5000000
2008-10	Curated Web	26	2875000
2009-01	Curated Web	29	2000000
2009-04	Curated Web	40	1097428.5
2009-07	Curated Web	33	4500000
2009-10	Curated Web	36	3575000
2010-01	Curated Web	63	1500000
2010-04	Curated Web	40	1600000
2010-07	Curated Web	75	2000000
2010-10	Curated Web	43	2500000
2011-01	Curated Web	58	2500000
2011-04	Curated Web	100	1600000
2011-07	Curated Web	88	1400000
2011-10	Curated Web	56	1600000
2012-01	Curated Web	93	1500000
2012-04	Curated Web	99	1500000
2012-07	Curated Web	61	1400000
2012-10	Curated Web	83	1300000
2013-01	Curated Web	85	1800000
2013-04	Curated Web	105	1000000
2013-07	Curated Web	130	2300000
2013-10	Curated Web	119	1753219
2004-01	Security	5	7880000
2004-04	Security	11	12000000
2004-07	Security	0	0
2004-10	Security	10	29000000
2005-01	Security	41	5500000
2005-04	Security	39	8500000
2005-07	Security	25	7000000
2005-10	Security	77	10000000
2006-01	Security	33	8500000
2006-04	Security	34	7140000
2006-07	Security	51	6000000
2006-10	Security	27	4000000
2007-01	Security	40	11600000
2007-04	Security	47	7500000
2007-07	Security	26	8000000
2007-10	Security	32	6510000
2008-01	Security	26	8485000
2008-04	Security	37	8000000
2008-07	Security	14	10000000
2008-10	Security	26	10000000
2009-01	Security	16	3000000
2009-04	Security	27	8800000
2009-07	Security	23	8700000
2009-10	Security	20	6200000
2010-01	Security	13	2280161
2010-04	Security	27	8000000
2010-07	Security	14	6250000
2010-10	Security	32	12500000
2011-01	Security	20	1500000
2011-04	Security	43	1435800
2011-07	Security	24	19000000
2011-10	Security	20	8000000
2012-01	Security	22	5300000
2012-04	Security	47	6250000
2012-07	Security	22	5777680.5
2012-10	Security	17	750000
2013-01	Security	42	2400000
2013-04	Security	26	9400000
2013-07	Security	54	2950000
2013-10	Security	53	10000000
