investor_name,investor_market,investor_country_code,raised_amount_usd
IrishAngels,Venture Capital,USA,2000000.0
Irrus Investments,Finance,IRL,878619.0
Isai,Finance,FRA,9888460.0
Italian Angels for Growth,Finance,ITA,2807940.0
JANVEST Technologies,Finance,ISR,5850000.0
JFDI.Asia,Startups,SGP,296800.0
JMES Investments,SaaS,DEU,350000.0
JOLT,Automotive,CAN,30095.0
Javest Investment Fund,Technology,NLD,385980.0
"Joey Capital, LLC",Investment Management,USA,100000.0
JumpStart Foundry,Finance,USA,2115000.0
Jungle Ventures,Internet,SGP,7249000.0
Juniper Networks,Communications Hardware,USA,25000000.0
KASSIR.RU,Ticketing,RUS,8000000.0
KDDI,Mobile,JPN,15000000.0
KKR,Venture Capital,USA,225000000.0
Kae Capital,Finance,IND,7000000.0
Kalaari Capital,Finance,IND,48700000.0
Kaplan EdTech Accelerator,Education,USA,250000.0
Kapor Capital,Finance,USA,46547621.0
Kauffman Foundation,Finance,USA,24075000.0
Keiretsu Forum,Finance,USA,16450000.0
Khosla Impact,Banking,USA,2600000.0
Kickstarter,Crowdsourcing,USA,424288.0
Kingsoft,Software,HKG,20000000.0
Kiva,Finance,USA,1200000.0
Knight Foundation,None,USA,25225000.0
Kstartup,Finance,KOR,35687.0
Kyowon Group,Education,KOR,6200000.0
LAUNCHub,Finance,BGR,1895467.0
LUBio Science,Biotechnology,GBR,1000000.0
LVMH,Fashion,FRA,23707906.0
LX Ventures,Incubators,CAN,1750000.0
Lanzadera Accelerator,Investment Management,ESP,3521300.0
Last Chance Ads,Advertising,NOR,1500000.0
LaunchHouse,Startups,USA,355000.0
Launchpad LA,Venture Capital,USA,7200000.0
"Laureate Education, Inc.",Education,USA,43000000.0
Lead Edge Capital,E-Commerce,USA,65700000.0
LearnLaunchX,Incubators,USA,108000.0
Lee Enterprises,Biotechnology,USA,9000000.0
Lemnos Labs,Pre Seed,USA,6800000.0
LeoGroup,Investment Management,USA,10857367.0
Leverate Media,Advertising,DEU,1000000.0
Liberty Global,Web Hosting,USA,54500000.0
Lightbank,Collaboration,USA,32290000.0
Linden Lab,Games,USA,2400000.0
Logitech,Hardware + Software,USA,3900000.0
London Venture Partners,Venture Capital,GBR,1800000.0
Lonza Group,Biotechnology,CHE,2800000.0
Lumia Capital,Venture Capital,USA,32500000.0
Luminari Capital,Venture Capital,USA,4000000.0
MEDL Mobile,Mobile,USA,2000000.0
MI Ventures,Venture Capital,USA,3600000.0
MMC Ventures,Venture Capital,GBR,45541403.0
MTC Software,Software,USA,600000.0
MaRS Innovation,Technology,CAN,2764989.0
MaRS Investment Accelerator Fund,Finance,CAN,17224135.0
MacAndrews & Forbes Holdings,Legal,USA,30000000.0
Macnica Networks Corp.,Security,JPN,100000000.0
Madrona Venture Group,Mobile,USA,205350000.0
Magma Venture Partners,Venture Capital,ISR,34500000.0
Mail.Ru Group,Curated Web,RUS,6400000.0
Manatt Digital Media,Legal,USA,2000000.0
Mangrove Capital Partners,Internet,LUX,23300000.0
Martin Ventures,Venture Capital,USA,5000000.0
MassChallenge,Venture Capital,USA,950000.0
Massachusetts Clean Energy Center,Clean Technology,USA,150000.0
Massachusetts Life Sciences Center,Biotechnology,USA,1000000.0
MasterCard,Payments,USA,1600000.0
Matrix Partners China,Finance,CHN,78244708.0
Mayo Clinic Rochester,Biotechnology,USA,48000000.0
MedXpoint,Incubators,RUS,50000.0
Media Camp,Broadcasting,USA,1520000.0
MediaCorp Singapore,Public Relations,SGP,40000000.0
Melbourne Angels,Angels,AUS,1132075.0
Menlo Ventures,Finance,USA,528855420.0
MercadoLibre,Business Services,ARG,500000.0
Micronet Enertec Technologies,None,USA,2600000.0
Microsoft,Video Games,USA,15270000.0
Microsoft Accelerator - Tel Aviv,Startups,USA,1000000.0
Microsoft Ventures,Startups,USA,1450000.0
Microventures,Crowdfunding,USA,5926000.0
Milestone Venture Partners,Software,USA,39500000.0
Mind the Bridge,Startups,USA,65000.0
MindCET,Startups,ISR,750000.0
Mitsui & Co,Finance,JPN,127000000.0
Mobily Ventures,Venture Capital,SAU,7000000.0
Mohr Davidow Ventures,Venture Capital,USA,169025000.0
Mola.com,Finance,ESP,4663448.0
Monterro,Finance,SWE,6500000.0
Morningstar,Investment Management,USA,3900000.0
Motorola Solutions,Enterprise Software,USA,15650000.0
Mucker Capital,New Product Development,USA,5190000.0
MusclePharm,Health and Wellness,USA,2000000.0
Mylan,Biotechnology,USA,12000000.0
Mymicroinvest,Enterprise Software,BEL,473664.0
NDRC,Finance,IRL,447596.0
NPD Group,Consulting,USA,23000000.0
NRG Energy,Clean Technology,USA,64250000.0
NSF,Material Science,USA,1073171.0
NTT Data,Software,JPN,2125775.0
NXTP Labs,Startups,ARG,4777500.0
Naranya Labs,Mobile Commerce,MEX,40000.0
National Institutes of Health (NIH),Health and Wellness,USA,7050000.0
Navam Capital,Technology,IND,1880000.0
Nazca Ventures,Venture Capital,CHL,525000.0
Nelnet,Finance,USA,7420000.0
Network18,Public Relations,IND,44000000.0
New Enterprise Associates,Technology,USA,1290686158.0
New Horizon Capital,None,THA,50000000.0
News Corp,Information Technology,USA,60000000.0
NewsOrViews,News,USA,1500000.0
Newzulu Media Limited,Curated Web,GBR,6375828.0
Nexon,Games,USA,17500000.0
NextView Ventures,Startups,USA,21200000.0
Nikon,Photography,USA,29167989.0
Nokia Growth Partners,Mobile,USA,103500000.0
Nordstrom,None,USA,30000000.0
North Bridge Venture Partners,Venture Capital,USA,211099991.0
North Shore InnoVentures,Biotechnology,USA,300000.0
North Texas Angel Network,Angels,USA,7950000.0
Northwestern University,Education,USA,11500000.0
Norwest Venture Partners,Finance,USA,753306668.0
Notion Capital,Venture Capital,GBR,81263190.0
Novartis,Biotechnology,CHE,62500000.0
Novstream Internet Advisors,Investment Management,RUS,300000.0
Nvidia,Hardware + Software,USA,18000000.0
ORIX Ventures,Finance,USA,10000000.0
Office of Naval Research (ONR),Politics,USA,30000000.0
Ohio TechAngels Fund,Early-Stage Technology,USA,3650000.0
Ooga Labs,Finance,USA,22450000.0
Openfund,Startups,GRC,2161315.0
Oracle Corporation,Enterprise Software,USA,62500000.0
Oregon Angel Fund,Angels,USA,19400000.0
Originate,iPhone,USA,900000.0
Otto Group,None,NLD,3000000.0
OurCrowd,Startups,ISR,13802500.0
Oxygen Accelerator,Startups,GBR,194370.0
PDL Biopharma,Biotechnology,USA,130000000.0
PIE,None,USA,118000.0
PLSG Accelerator Fund,Startups,USA,338000.0
PLUS Ventures,Finance,ISR,11050000.0
PTV Healthcare Capital,Venture Capital,USA,54000000.0
Panarea Capital,Venture Capital,SWE,14000000.0
Panasonic,Hardware + Software,JPN,13000000.0
Partech Ventures,Venture Capital,FRA,64537850.0
Partners Healthcare Group,Health and Wellness,USA,40000000.0
Partnership Fund for New York City,Finance,USA,13400000.0
Passion Capital,Venture Capital,GBR,28710063.0
Paua Ventures,Venture Capital,DEU,2950000.0
Paulson & Co.,None,USA,565000000.0
PayPal,Payments,USA,12800000.0
Pearson,Education,DEU,12950000.0
Penton Media,Governments,USA,5000000.0
PepsiCo,Sales and Marketing,USA,1700000.0
Petco,Retail,USA,3500000.0
Peterson Ventures,Venture Capital,USA,41300000.0
Philips,Heathcare,NLD,38598000.0
PivotNorth Capital,Startups,USA,14500000.0
Pixafy,Content,USA,750000.0
Playfair Capital,Technology,GBR,6220427.0
Plazacorp Ventures,Venture Capital,CAN,18000000.0
Plug & Play Ventures,Venture Capital,USA,31781732.0
Plug and Play Spain,Music,ESP,206001.0
Plug and Play Tech Center,Startups,USA,1500000.0
Portland Seed Fund,Finance,USA,7673000.0
Practica Capital,Investment Management,LTU,1978734.0
Prairie Capital,Finance,USA,33620000.0
Prana Studios,Games,USA,10100000.0
Premier Partners,Finance,KOR,3313170.0
Privaris,Security,USA,22818.0
Prospect Capital Corporation,Finance,USA,70000000.0
Publicis Groupe,Public Relations,FRA,15000000.0
Qi3 Accelerator,Startups,GBR,3030502.0
Qihoo 360 Technology,Technology,CHN,50000000.0
Qualcomm,Semiconductors,USA,73500000.0
Quasar Ventures,Consulting,ARG,3000000.0
R/GA,Startups,USA,100000.0
RED BUTTON CAPITAL,Investment Management,RUS,50000.0
RI Digital Ventures,Venture Capital,DEU,16400000.0
RTAventures,Venture Capital,POL,707630.0
RTL Group,Games,LUX,6000000.0
Rackspace,Cloud Computing,USA,12000000.0
Raidious,Public Relations,USA,200000.0
Raine Ventures,Venture Capital,USA,10000000.0
Rakuten,Travel,JPN,31100000.0
Rampersand,Finance,NOR,1000000.0
Reaktor POLTE,Pre Seed,FIN,299000.0
Realiza Business Angels,Business Development,ESP,195780.0
Red Hat,Software,DEU,172100000.0
Red Swan Ventures,Venture Capital,USA,122039589.0
Redpoint e.ventures,Venture Capital,BRA,31700000.0
Reed Elsevier Ventures,Venture Capital,GBR,47400000.0
Rees Capital,Finance,USA,800000.0
Resource Capital,Real Estate,USA,60000000.0
Revolution LLC,None,USA,290252986.0
Riot Games,Games,USA,8200000.0
Rizvi Traverse Management,Education,USA,50000000.0
RocaSalvatella,Consulting,ESP,250068.0
Rock Health,Venture Capital,USA,30026190.0
Rocket Internet AG,Software,DEU,321500000.0
Rockstart,Startups,NLD,19500.0
Rockstart Accelerator,Startups,NLD,19495.0
Rockwell Automation,Hardware + Software,USA,3000000.0
Rogers Venture Partners,Venture Capital,USA,41450000.0
Rubicon,Semiconductors,USA,300000.0
Rubicon Venture Capital,Technology,USA,1400000.0
Runa Capital,Venture Capital,RUS,66428026.0
SAP,Enterprise Software,USA,40000000.0
SEED MG,Startups,BRA,40000.0
SGEK Holding AG,Venture Capital,CHE,1000000.0
SK Planet,E-Commerce,KOR,6116136.0
SOSventures,Finance,USA,51595245.0
SRI International,Nonprofits,USA,1000000.0
Safeguard Scientifics,Finance,USA,85489997.0
Sage Group,Software,GBR,1200000.0
Salesforce,Software,USA,418960000.0
Samsung Electronics,Hardware + Software,KOR,13000000.0
Samurai Incubate,iPhone,JPN,43138.0
SanDisk,Curated Web,USA,59000000.0
SanomaVentures,Digital Media,NLD,4700000.0
Sapient,Enterprise Software,USA,2500000.0
Sberbank,Finance,RUS,8750000.0
Schlumberger,Oil & Gas,USA,7000000.0
Scholastic,Education,USA,1000000.0
Schottenstein Stores,Manufacturing,USA,2500000.0
Seagate,Technology,USA,40000000.0
Searchcamp,Startups,GBR,15230.0
Seed Capital,Venture Capital,DNK,16382920.0
Seedcamp,Startups,GBR,1586600.0
Seedmatch,Crowdfunding,DEU,462449.0
Seedrs,Finance,GBR,2688310.0
Sembcorp Industries,Clean Technology,SGP,6513865.0
Sequoia Capital,Venture Capital,USA,1728422230.0
Seven West Media,News,AUS,10400000.0
Shanghai Fosun Pharmaceutical,Biotechnology,CHN,22400000.0
Sherpalo Ventures,Venture Capital,USA,6600000.0
Sherwood Brands INC,Distribution,USA,5500000.0
Shire,Pharmaceuticals,IRL,6400000.0
Shortcut Ventures GmbH,Startups,DEU,2600000.0
Siamosoci,Finance,ITA,375000.0
Siemens Venture Capital,Venture Capital,DEU,51600000.0
SierraMaya360,Angels,USA,7525000.0
Signavio,Software,DEU,1560995.0
Signet Enterprises,Real Estate,CHN,500000.0
