date,startup,funding,25startups,25funding,startup_ecommerce,funding_ecommerce
2007-07,#VALUE!,13019502,350,12909547,4,15000000
2007-08,#VALUE!,15408321,286,13108911,4,16600000
2007-09,#VALUE!,17657279,306,16765860,10,10000000
2007-10,#VALUE!,16053897,342,16740992,0,0
2007-11,#VALUE!,13919335,306,15234735,2,20500000
2007-12,#VALUE!,17399681,234,13099982,12,4400000
2008-01,#VALUE!,14256018,415,13608441,18,6500000
2008-02,#VALUE!,14055484,317,14062754,15,7000000
2008-03,#VALUE!,19649857,259,23966302,3,5000000
2008-04,#VALUE!,16525003,355,18279461,19,13500000
2008-05,#VALUE!,43912262,309,14085219,12,20000000
2008-06,#VALUE!,15118028,363,13083904,10,7100000
2008-07,#VALUE!,18979380,271,20635958,8,6900000
2008-08,#VALUE!,17349603,245,17855021,6,3345875
2008-09,#VALUE!,18470736,304,19366020,2,12000000
2008-10,#VALUE!,16209828,259,14652814,15,4500000
2008-11,#VALUE!,17015946,239,15776276,7,5000000
2008-12,#VALUE!,12986999,228,10273510,6,2945500
2009-01,#VALUE!,10858995,299,11875066,16,6000000
2009-02,#VALUE!,9688248,239,8968108,6,7000000
2009-03,#VALUE!,11500844,228,10377993,2,1528150
2009-04,#VALUE!,15301155,222,11275033,7,5000000
2009-05,#VALUE!,15170633,262,12638237,15,5000000
2009-06,#VALUE!,12588421,216,10156777,11,7002000
2009-07,#VALUE!,13381519,233,13753316,8,3700000
2009-08,#VALUE!,14642892,231,15020371,3,1500000
2009-09,#VALUE!,13283457,205,12259731,8,5050000
2009-10,#VALUE!,15627457,299,16460510,12,25000000
2009-11,#VALUE!,35393952,357,13139465,3,10000000
2009-12,#VALUE!,11893626,374,11355345,14,1400000
2010-01,#VALUE!,14937460,414,15382452,24,5000000
2010-02,#VALUE!,9948784,268,10623132,2,15000000
2010-03,#VALUE!,10014788,351,8779952,24,5350000
2010-04,#VALUE!,16379773,410,19967227,33,10000000
2010-05,#VALUE!,12825689,283,11292874,6,4583500
2010-06,#VALUE!,12862394,427,14501463,18,4549650
2010-07,#VALUE!,14486739,358,13374153,25,4500000
2010-08,#VALUE!,10224633,314,8610484,20,6500000
2010-09,#VALUE!,9865435,446,10047456,19,2570000
2010-10,#VALUE!,13256106,323,15878986,14,5330000
2010-11,#VALUE!,13311019,339,14735688,22,9341317
2010-12,#VALUE!,13790246,310,15127135,38,10000000
2011-01,#VALUE!,27721086,435,42529687,23,12000000
2011-02,#VALUE!,17169064,369,15981782,20,4050200
2011-03,#VALUE!,13271688,325,14507058,41,10000000
2011-04,#VALUE!,15308382,338,16137050,29,2500000
2011-05,#VALUE!,16501128,416,17957265,20,1250000
2011-06,#VALUE!,14452775,472,14133852,45,5000000
2011-07,#VALUE!,16504322,417,21107004,33,10000000
2011-08,#VALUE!,13178311,410,14023315,29,7900000
2011-09,#VALUE!,16578386,436,17364993,27,8000000
2011-10,#VALUE!,15927544,371,22243085,22,7309695
2011-11,#VALUE!,13774653,404,16542743,46,2520000
2011-12,#VALUE!,10327068,358,13648433,21,1000000
2012-01,#VALUE!,10417193,602,12507146,40,1869162
2012-02,#VALUE!,9726742,417,11002478,40,2670000
2012-03,#VALUE!,11584676,484,13565310,47,5500000
2012-04,#VALUE!,11478143,458,11335255,52,1600000
2012-05,#VALUE!,12608483,440,14977851,21,15789473
2012-06,#VALUE!,13686741,530,15827092,52,12500000
2012-07,#VALUE!,13673131,556,16107070,40,1350000
2012-08,#VALUE!,9600574,421,12648587,66,1000000
2012-09,#VALUE!,10845963,366,11101513,36,925000
2012-10,#VALUE!,8222623,542,8979621,60,1950000
2012-11,#VALUE!,12752748,501,13317927,33,2592330
2012-12,#VALUE!,9507406,395,11154861,41,2000000
2013-01,#VALUE!,11151454,578,14440852,42,1600853
2013-02,#VALUE!,9744729,452,11075600,64,3004965
2013-03,#VALUE!,8428273,495,8263368,63,1022820
2013-04,#VALUE!,9669693,621,10765062,103,5000000
2013-05,#VALUE!,9856266,503,12112562,69,3400000
2013-06,#VALUE!,12589141,615,16268005,89,2186690
2013-07,#VALUE!,13656573,648,12329749,73,1650000
2013-08,#VALUE!,10727623,507,16031035,45,1600000
2013-09,#VALUE!,12396403,671,13719441,58,1286600
2013-10,#VALUE!,14625397,719,17238216,59,2400000
2013-11,#VALUE!,13992293,620,13899527,81,5500000
2013-12,#VALUE!,15566599,621,17468862,78,3650000
